CustomerId,CustomerTypeId,CustomerRelationshipTypeId,DateOfBirth,CustomerEstablishedDate,IsActive,FirstName,LastName,Gender,PrimaryPhone,SecondaryPhone,PrimaryEmail,SecondaryEmail,CreatedBy
CID-001,Business,Utility-Offtake-01,1971-05-18,2014-03-03,True,Avery,Reed,Male,(555) 010-0001,,offtaker001@example.com,,RenewablePack
CID-002,Government,Corporate-24x7-CFE-02,1971-10-02,2014-05-03,True,Jordan,Solaris,Female,(555) 010-0002,,offtaker002@example.com,,RenewablePack
CID-003,Business,Municipal-Green-Tariff-03,1972-02-16,2014-07-03,True,Morgan,Hayes,Male,(555) 010-0003,,offtaker003@example.com,,RenewablePack
CID-004,Business,Community-Solar-Sponsor-04,1972-07-02,2014-09-02,True,Riley,Windsor,Female,(555) 010-0004,(555) 011-0004,offtaker004@example.com,,RenewablePack
CID-005,Government,REC-Settlement-05,1972-11-16,2014-11-02,True,Casey,Brooks,Male,(555) 010-0005,,offtaker005@example.com,settlements005@example.com,RenewablePack
CID-006,Business,Interconnection-Partner-06,1973-04-02,2015-01-02,True,Taylor,Mendez,Female,(555) 010-0006,,offtaker006@example.com,,RenewablePack
CID-007,Government,Asset-CoOwner-07,1973-08-17,2015-03-04,True,Skyler,Shah,Male,(555) 010-0007,,offtaker007@example.com,,RenewablePack
CID-008,Business,Storage-Tolling-08,1974-01-01,2015-05-04,True,Quinn,Nguyen,Female,(555) 010-0008,(555) 011-0008,offtaker008@example.com,,RenewablePack
CID-009,Business,Utility-Offtake-09,1974-05-18,2015-07-04,True,Rowan,Carter,Male,(555) 010-0009,,offtaker009@example.com,,RenewablePack
CID-010,Government,Corporate-24x7-CFE-10,1974-10-02,2015-09-03,True,Parker,Patel,Female,(555) 010-0010,,offtaker010@example.com,settlements010@example.com,RenewablePack
CID-011,Business,Municipal-Green-Tariff-11,1975-02-16,2015-11-03,True,Avery,Reed,Male,(555) 010-0011,,offtaker011@example.com,,RenewablePack
CID-012,Government,Community-Solar-Sponsor-12,1975-07-03,2016-01-03,True,Jordan,Solaris,Female,(555) 010-0012,(555) 011-0012,offtaker012@example.com,,RenewablePack
CID-013,Business,REC-Settlement-13,1975-11-17,2016-03-04,False,Morgan,Hayes,Male,(555) 010-0013,,offtaker013@example.com,,RenewablePack
CID-014,Business,Interconnection-Partner-14,1976-04-02,2016-05-04,True,Riley,Windsor,Female,(555) 010-0014,,offtaker014@example.com,,RenewablePack
CID-015,Government,Asset-CoOwner-15,1976-08-17,2016-07-04,True,Casey,Brooks,Male,(555) 010-0015,,offtaker015@example.com,settlements015@example.com,RenewablePack
CID-016,Business,Storage-Tolling-16,1977-01-01,2016-09-03,True,Taylor,Mendez,Female,(555) 010-0016,(555) 011-0016,offtaker016@example.com,,RenewablePack
